"","VISIT_ID","SITE_ID","VISIT_NO","DATE_COL","NTL_PPM","PTL_PPB","SITE_TYPE","ECO_REG","ECO_REG_NAME","LON_DD","LAT_DD","EPA_REG","WGT_NLA","URBAN","LAKE_ORIGIN","AREA_HA","ELEV_PT","HUC_8","UNIQUE_ID","tn.tp","TN_mol","TP_mol"
"796",2010987,"NLA17_MI-10001",1,"5-Jun-17",0.631,15.41,"PROB","UMW","Upper Midwest",-85.46762,43.21885,"Region_05",185.2199585,"Non-Urban","NATURAL",20.59036,269,"H04050001","NLA_MI-10009",90.5473091800165,4.50489041193689e-05,4.97517866928629e-07
"797",2010988,"NLA17_FL-10007",1,"5-Jun-17",0.544,14.6425,"PROB","CPL","Coastal Plains",-81.50928,27.84219,"Region_04",1379.193088,"Urban","NATURAL",1.870655,29,"H03090101","NLA_FL-10077",82.1547153539111,3.88377239951453e-05,4.72738829753566e-07
"798",2010989,"NLA17_MI-10110",1,"6-Jun-17",1.543,203.9525,"PROB","UMW","Upper Midwest",-85.65584,43.16356,"Region_05",70.52759862,"Urban","NATURAL",1.204155,241,"H04050006","NLA_MI-10202",16.7296063150874,0.00011015920611123,6.58468609699943e-06
"799",2010990,"NLA17_VA-10034",1,"6-Jun-17",0.789,73.72125,"PROB","SAP","Southern Appalachians",-78.56589,36.93944,"Region_03",12.13678717,"Non-Urban","MAN_MADE",15.03089,124,"H03010102","NLA_VA-10067",23.6664512546877,5.63289783679589e-05,2.38011934116238e-06
"800",2010991,"NLA17_UT-10002",1,"6-Jun-17",0.315,8.45125,"PROB","WMT","Western Mountains",-111.7364,41.51882,"Region_08",10.35871869,"Non-Urban","MAN_MADE",69.82459,1641,"H16010203","NLA_UT-10023",82.4211050759194,2.24887556221889e-05,2.72851906092185e-07
"801",2010992,"NLA17_GA-10001",1,"6-Jun-17",1.2,216.20625,"PROB","CPL","Coastal Plains",-81.41324,31.05991,"Region_04",368.3207443,"Non-Urban","MAN_MADE",9.741401,1,"H03070203","NLA_GA-10009",12.2733135697597,8.56714499892911e-05,6.98030320030097e-06
"802",2010993,"NLA17_SD-10015",1,"6-Jun-17",1.388,121.2875,"PROB","NPL","Northern Plains",-99.6198,43.20149,"Region_08",10.07352908,"Non-Urban","MAN_MADE",37.8215,675,"H10150001","NLA_SD-10121",25.3059269474369,9.90933104876133e-05,3.91581429494524e-06
"803",2010994,"NLA17_TN-10002",1,"6-Jun-17",1.673,140.4875,"PROB","SAP","Southern Appalachians",-85.5897,36.04246,"Region_04",19.99795782,"Non-Urban","MAN_MADE",30.21829,269,"H05090202","NLA_TN-10010",26.3334090318378,0.00011944027986007,4.53569379170252e-06
"804",2010995,"NLA17_MI-10094",1,"7-Jun-17",0.849,15.15,"PROB","UMW","Upper Midwest",-86.15491,43.76338,"Region_05",70.52759862,"Non-Urban","NATURAL",1.116156,269,"H04060101","NLA_MI-10186",123.9207078983,6.06125508674234e-05,4.89123665410041e-07
"805",2010996,"NLA17_IL-10006",1,"7-Jun-17",0.399,14.08,"PROB","TPL","Temperate Plains",-88.103,40.48022,"Region_05",306.4014873,"Urban","MAN_MADE",1.734537,235,"H05130206","NLA_IL-10038",62.6641378843959,2.84857571214393e-05,4.54578297622005e-07
