"","VISIT_ID","NTL_PPM","PTL_PPB","SITE_ID","VISIT_NO","DATE_COL","SITE_TYPE","LON_DD","LAT_DD","EPA_REG","WGT_NLA","URBAN","LAKE_ORIGIN","AREA_HA","ELEV_PT","HUC_8","UNIQUE_ID","AGGR_ECO9_2015","CHLA_COND","NTL_COND","PTL_COND","TROPHIC_STATE","tn.tp","TN_mol","TP_mol"
"64",1000094,0.551,10,"NLA12_MI-110",1,"7/25/2012","PROB",-83.30902829,42.7448541,"Region_5",422.2733841,"Yes","NATURAL",11.22241463,301.57,4090003,"NLA_MI-10036","UMW","Good","Good","Good","Oligotrophic",121.842956099793,3.93374741200828e-05,3.22853904561083e-07
"65",1000096,0.488,21,"NLA12_MI-129",1,"7/25/2012","PROB",-85.00046365,43.95733488,"Region_5",70.40204082,"No","NATURAL",25.87205168,329.08,4060102,"NLA_MI-10096","UMW","Good","Good","Good","Mesotrophic",51.386537530636,3.4839722995645e-05,6.77993199578275e-07
"66",1000097,0.136,10,"NLA12_VT-114",1,"7/26/2012","PROB",-71.71766789,44.95572697,"Region_1",22.37142096,"No","NATURAL",177.5576428,529.93,1110000,"NLA_VT-10022","NAP","Good","Good","Good","Oligotrophic",30.0737604892411,9.70943099878632e-06,3.22853904561083e-07
"67",1000098,0.501,22,"NLA12_MI-123",1,"7/26/2012","PROB",-84.59594103,41.88595109,"Region_5",70.40204082,"Yes","NATURAL",19.08103971,334.29,4050001,"NLA_MI-10090","UMW","Good","Good","Good","Mesotrophic",50.3574665946183,3.5767830370529e-05,7.10278590034383e-07
"68",1000099,0.61,30,"NLA12_MI-161",1,"7/26/2012","PROB",-85.48183584,44.24710638,"Region_5",64.68475929,"Yes","NATURAL",1048.973014,392.8,4060102,"NLA_MI-10128","UMW","Good","Good","Fair","Eutrophic",44.9632203393065,4.35496537445563e-05,9.6856171368325e-07
"69",1000100,1.35,70,"NLA12_WI-166",1,"7/26/2012","PROB",-90.42159914,43.19283315,"Region_5",6.190505164,"No","NATURAL",11.14816543,201.75,7070005,"NLA_WI-10101","UMW","Good","Poor","Poor","Eutrophic",42.6466141391549,9.63803812379525e-05,2.25997733192758e-06
"70",1000101,0.565,17,"NLA12_MI-165",1,"7/27/2012","PROB",-85.30575995,44.3550178,"Region_5",70.40204082,"No","NATURAL",10.56813818,394.01,4060102,"NLA_MI-10132","UMW","Good","Good","Good","Eutrophic",73.4934025796765,4.03369743699579e-05,5.48851637753842e-07
"71",1000103,0.246,5,"NLA12_MI-162",1,"7/30/2012","PROB",-85.71666173,46.46325834,"Region_5",64.68475929,"No","NATURAL",59.06040392,272.84,4020201,"NLA_MI-10129","UMW","Good","Good","Good","Mesotrophic",108.796251181666,1.75626472478047e-05,1.61426952280542e-07
"72",1000105,1.246,15,"NLA12_MI-132",1,"7/31/2012","PROB",-87.75739561,45.45225051,"Region_5",70.40204082,"No","NATURAL",13.21825643,213.03,4030108,"NLA_MI-10099","UMW","Fair","Poor","Good","Eutrophic",183.685811615659,8.89555222388806e-05,4.84280856841625e-07
"73",1000106,0.389,8,"NLA12_MI-118",1,"7/31/2012","PROB",-88.83001694,46.1517719,"Region_5",117.5669489,"No","NATURAL",55.62427711,497.39,4030106,"NLA_MI-10010","UMW","Good","Good","Good","Mesotrophic",107.524750278629,2.77718283715285e-05,2.58283123648867e-07
"74",1000107,1.074,74,"NLA12_WA-107",1,"7/31/2012","PROB",-122.4258001,45.61684794,"Region_10",24.78649861,"Yes","MAN_MADE",101.3084781,55.6,17080001,"NLA_WA-10007","WMT","Poor","Poor","Poor","Hypereutrophic",32.0938183281448,7.66759477404155e-05,2.38911889375202e-06
"75",1000108,0.91,14,"NLA12_WI-112",1,"7/19/2012","PROB",-88.07300702,45.62088904,"Region_5",85.56162495,"No","NATURAL",12.3174475,320.42,4030108,"NLA_WI-10047","UMW","Good","Fair","Good","Mesotrophic",143.734884691226,6.49675162418791e-05,4.51995466385517e-07
"76",1000109,0.97,56,"NLA12_WI-108",1,"7/30/2012","PROB",-92.42532377,45.32642671,"Region_5",19.6240585,"Yes","NATURAL",577.5639511,310.94,7030005,"NLA_WI-10011","UMW","Fair","Poor","Poor","Hypereutrophic",38.3029775138706,6.92510887413436e-05,1.80798186554207e-06
"77",1000110,0.276,14,"NLA12_VT-101",2,"8/1/2012","PROB",-71.81189261,44.44652025,"Region_1",81.24782053,"No","NATURAL",82.15968773,312.89,1080103,"NLA_VT-10011",NA,NA,NA,NA,NA,43.5943166755806,1.97044334975369e-05,4.51995466385517e-07
"78",1000111,0.773,41,"NLA12_MI-169",1,"8/1/2012","PROB",-88.75176293,46.39989795,"Region_5",137.3026588,"No","NATURAL",8.692896041,472.1,4020102,"NLA_MI-10136","UMW","Good","Fair","Fair","Eutrophic",41.6912067040591,5.51866923681017e-05,1.32370100870044e-06
"79",1000112,0.379,8,"NLA12_MI-148",1,"8/1/2012","PROB",-87.98000286,45.95449781,"Region_5",70.40204082,"No","MAN_MADE",119.956222,347.99,4030108,"NLA_MI-10115","UMW","Good","Good","Good","Oligotrophic",104.76061788072,2.70578996216178e-05,2.58283123648867e-07
"80",1000113,0.035,85,"NLA12_WA-129",1,"8/1/2012","PROB",-121.701039,46.15548587,"Region_10",186.4166667,"No","NATURAL",1.588325787,1083.13,17080002,"NLA_WA-10081","WMT","Fair","Good","Poor","Oligotrophic",0.910537731075639,2.49875062468766e-06,2.74425818876921e-06
"81",1000115,0.29,20,"NLA12_WI-155",1,"8/1/2012","PROB",-92.47540024,45.38632167,"Region_5",36.75612441,"Yes","NATURAL",39.01473417,324.03,7030005,"NLA_WI-10090","UMW","Good","Good","Good","Eutrophic",32.063935815735,2.0703933747412e-05,6.45707809122167e-07
